Epoch,VAE_Loss,GAN_Loss
0,6786.287828096083,21.41489217529048
1,6632.69321367832,21.79301444380338
2,6622.39889227379,21.9278562436818
3,6616.766881814675,22.00131011624245
4,6610.961609802649,22.05136925519177
5,6608.400635946546,22.086791643628324
6,6605.639334889394,22.116463744981647
7,6604.0864019063765,22.144331469778397
8,6603.117031986736,22.17053516869074
9,6602.084579257486,22.194624285682558
10,6601.3337240777,22.217991866109877
11,6600.391088431488,22.238826390073967
12,6600.373806273522,22.258176167503336
13,6599.304642137151,22.27647219829955
14,6598.930624769315,22.29340549004916
15,6598.601504146508,22.30905609826219
16,6598.201282630092,22.323467950048624
17,6597.940460201083,22.337834365035857
18,6597.797643565617,22.350676119379266
19,6597.564009637268,22.362903966957635
20,6597.680215775708,22.373429423813583
21,6597.477662974426,22.383279520295872
22,6597.454599929621,22.392089691645825
23,6597.11651125509,22.400174526574315
24,6597.093754918021,22.406857901018494
25,6597.030099962623,22.41339381359248
26,6596.953755500842,22.41932675051263
27,6596.775632065937,22.424566057041666
28,6596.605745944029,22.429363900308893
29,6596.864139743936,22.433928288751275
30,6596.566772285267,22.43819927260652
31,6596.353962501335,22.443086282067412
32,6596.6275950494255,22.447038861596024
33,6596.237561386233,22.450531378866263
34,6596.310705199934,22.4538309281291
35,6596.475434531015,22.45696774837843
36,6596.278721195461,22.459921082817402
37,6596.011265213475,22.462679654106466
38,6596.053748105503,22.465524981740955
39,6596.345031356665,22.468136008448848
40,6596.152660560929,22.470610366784626
